dsx,dsy,lsx,lsy,dxs,dys,manhattan,delay_ns,fanout,dtype,ltype
45,225,45,225,0,0,0,58,1,SLICE,SLICE
44,226,44,226,0,0,0,58,1,SLICE,SLICE
44,224,44,224,0,0,0,58,1,SLICE,SLICE
44,223,44,223,0,0,0,59,1,SLICE,SLICE
44,224,44,224,0,0,0,59,1,SLICE,SLICE
44,225,44,225,0,0,0,58,1,SLICE,SLICE
32,250,32,250,0,0,0,59,1,SLICE,SLICE
32,250,32,250,0,0,0,58,1,SLICE,SLICE
32,250,32,250,0,0,0,58,1,SLICE,SLICE
33,250,33,250,0,0,0,58,1,SLICE,SLICE
32,251,32,251,0,0,0,59,1,SLICE,SLICE
32,251,32,251,0,0,0,58,1,SLICE,SLICE
32,270,32,270,0,0,0,58,1,SLICE,SLICE
32,269,32,269,0,0,0,59,1,SLICE,SLICE
32,268,32,268,0,0,0,58,1,SLICE,SLICE
32,268,32,268,0,0,0,59,1,SLICE,SLICE
32,268,32,268,0,0,0,58,1,SLICE,SLICE
32,269,32,269,0,0,0,58,1,SLICE,SLICE
32,255,32,255,0,0,0,58,1,SLICE,SLICE
33,255,33,255,0,0,0,58,1,SLICE,SLICE
33,258,33,258,0,0,0,58,1,SLICE,SLICE
30,255,30,255,0,0,0,59,1,SLICE,SLICE
33,255,33,255,0,0,0,59,1,SLICE,SLICE
32,256,32,256,0,0,0,58,1,SLICE,SLICE
44,228,44,228,0,0,0,58,1,SLICE,SLICE
44,228,44,228,0,0,0,59,1,SLICE,SLICE
44,227,44,227,0,0,0,58,1,SLICE,SLICE
44,227,44,227,0,0,0,59,1,SLICE,SLICE
44,227,44,227,0,0,0,58,1,SLICE,SLICE
44,227,44,227,0,0,0,58,1,SLICE,SLICE
44,232,44,232,0,0,0,59,1,SLICE,SLICE
44,231,44,231,0,0,0,59,1,SLICE,SLICE
45,234,45,234,0,0,0,59,1,SLICE,SLICE
45,234,45,234,0,0,0,58,1,SLICE,SLICE
44,232,44,232,0,0,0,58,1,SLICE,SLICE
44,232,44,232,0,0,0,58,1,SLICE,SLICE
43,238,43,238,0,0,0,58,1,SLICE,SLICE
42,236,42,236,0,0,0,56,1,SLICE,SLICE
42,237,42,237,0,0,0,56,1,SLICE,SLICE
42,237,42,237,0,0,0,55,1,SLICE,SLICE
42,236,42,236,0,0,0,55,1,SLICE,SLICE
42,236,42,236,0,0,0,55,1,SLICE,SLICE
