dsx,dsy,lsx,lsy,dxs,dys,manhattan,delay_ns,fanout,dtype,ltype
44,223,44,223,0,0,0,58,1,SLICE,SLICE
44,224,44,224,0,0,0,58,1,SLICE,SLICE
45,224,45,224,0,0,0,58,1,SLICE,SLICE
44,223,44,223,0,0,0,58,1,SLICE,SLICE
45,223,45,223,0,0,0,58,1,SLICE,SLICE
44,223,44,223,0,0,0,58,1,SLICE,SLICE
44,233,44,233,0,0,0,58,1,SLICE,SLICE
44,234,44,234,0,0,0,58,1,SLICE,SLICE
44,234,44,234,0,0,0,59,1,SLICE,SLICE
44,235,44,235,0,0,0,58,1,SLICE,SLICE
44,234,44,234,0,0,0,58,1,SLICE,SLICE
46,236,46,236,0,0,0,56,1,SLICE,SLICE
33,261,33,261,0,0,0,58,1,SLICE,SLICE
33,261,33,261,0,0,0,59,1,SLICE,SLICE
33,261,33,261,0,0,0,58,1,SLICE,SLICE
33,260,33,260,0,0,0,58,1,SLICE,SLICE
33,260,33,260,0,0,0,58,1,SLICE,SLICE
32,260,32,260,0,0,0,58,1,SLICE,SLICE
44,229,44,229,0,0,0,58,1,SLICE,SLICE
44,230,44,230,0,0,0,58,1,SLICE,SLICE
44,230,44,230,0,0,0,58,1,SLICE,SLICE
45,230,45,230,0,0,0,59,1,SLICE,SLICE
45,229,45,229,0,0,0,58,1,SLICE,SLICE
45,230,45,230,0,0,0,58,1,SLICE,SLICE
44,240,44,240,0,0,0,59,1,SLICE,SLICE
46,239,46,239,0,0,0,56,1,SLICE,SLICE
44,240,44,240,0,0,0,58,1,SLICE,SLICE
44,239,44,239,0,0,0,59,1,SLICE,SLICE
46,241,46,241,0,0,0,56,1,SLICE,SLICE
45,240,45,240,0,0,0,58,1,SLICE,SLICE
44,237,44,237,0,0,0,59,1,SLICE,SLICE
44,238,44,238,0,0,0,58,1,SLICE,SLICE
44,239,44,239,0,0,0,58,1,SLICE,SLICE
44,239,44,239,0,0,0,58,1,SLICE,SLICE
44,238,44,238,0,0,0,58,1,SLICE,SLICE
44,238,44,238,0,0,0,58,1,SLICE,SLICE
32,260,32,260,0,0,0,59,1,SLICE,SLICE
33,259,33,259,0,0,0,58,1,SLICE,SLICE
30,258,30,258,0,0,0,58,1,SLICE,SLICE
33,260,33,260,0,0,0,58,1,SLICE,SLICE
33,260,33,260,0,0,0,59,1,SLICE,SLICE
32,261,32,261,0,0,0,58,1,SLICE,SLICE
32,251,32,251,0,0,0,58,1,SLICE,SLICE
33,250,33,250,0,0,0,58,1,SLICE,SLICE
30,251,30,251,0,0,0,59,1,SLICE,SLICE
30,252,30,252,0,0,0,59,1,SLICE,SLICE
30,252,30,252,0,0,0,58,1,SLICE,SLICE
32,251,32,251,0,0,0,58,1,SLICE,SLICE
45,234,45,234,0,0,0,58,1,SLICE,SLICE
44,235,44,235,0,0,0,58,1,SLICE,SLICE
46,235,46,235,0,0,0,55,1,SLICE,SLICE
45,235,45,235,0,0,0,58,1,SLICE,SLICE
44,233,44,233,0,0,0,58,1,SLICE,SLICE
44,234,44,234,0,0,0,58,1,SLICE,SLICE
44,225,44,225,0,0,0,58,1,SLICE,SLICE
44,225,44,225,0,0,0,58,1,SLICE,SLICE
45,225,45,225,0,0,0,58,1,SLICE,SLICE
45,225,45,225,0,0,0,59,1,SLICE,SLICE
45,225,45,225,0,0,0,58,1,SLICE,SLICE
44,225,44,225,0,0,0,59,1,SLICE,SLICE
32,250,32,250,0,0,0,58,1,SLICE,SLICE
30,250,30,250,0,0,0,58,1,SLICE,SLICE
30,249,30,249,0,0,0,58,1,SLICE,SLICE
30,249,30,249,0,0,0,59,1,SLICE,SLICE
30,250,30,250,0,0,0,59,1,SLICE,SLICE
32,249,32,249,0,0,0,58,1,SLICE,SLICE
45,235,45,235,0,0,0,59,1,SLICE,SLICE
45,235,45,235,0,0,0,58,1,SLICE,SLICE
44,236,44,236,0,0,0,58,1,SLICE,SLICE
44,236,44,236,0,0,0,58,1,SLICE,SLICE
45,235,45,235,0,0,0,58,1,SLICE,SLICE
44,235,44,235,0,0,0,59,1,SLICE,SLICE
44,228,44,228,0,0,0,58,1,SLICE,SLICE
44,229,44,229,0,0,0,58,1,SLICE,SLICE
44,229,44,229,0,0,0,59,1,SLICE,SLICE
45,228,45,228,0,0,0,58,1,SLICE,SLICE
45,228,45,228,0,0,0,59,1,SLICE,SLICE
44,228,44,228,0,0,0,58,1,SLICE,SLICE
42,216,42,216,0,0,0,55,1,SLICE,SLICE
42,216,42,216,0,0,0,55,1,SLICE,SLICE
43,216,43,216,0,0,0,58,1,SLICE,SLICE
41,215,41,215,0,0,0,58,1,SLICE,SLICE
42,217,42,217,0,0,0,55,1,SLICE,SLICE
42,215,42,215,0,0,0,56,1,SLICE,SLICE
32,254,32,254,0,0,0,58,1,SLICE,SLICE
32,254,32,254,0,0,0,58,1,SLICE,SLICE
30,253,30,253,0,0,0,58,1,SLICE,SLICE
33,254,33,254,0,0,0,58,1,SLICE,SLICE
30,254,30,254,0,0,0,58,1,SLICE,SLICE
32,253,32,253,0,0,0,58,1,SLICE,SLICE
44,245,44,245,0,0,0,58,1,SLICE,SLICE
45,245,45,245,0,0,0,58,1,SLICE,SLICE
44,244,44,244,0,0,0,58,1,SLICE,SLICE
44,244,44,244,0,0,0,59,1,SLICE,SLICE
44,244,44,244,0,0,0,58,1,SLICE,SLICE
44,245,44,245,0,0,0,58,1,SLICE,SLICE
31,264,31,264,0,0,0,58,1,SLICE,SLICE
31,262,31,262,0,0,0,58,1,SLICE,SLICE
31,263,31,263,0,0,0,58,1,SLICE,SLICE
31,263,31,263,0,0,0,58,1,SLICE,SLICE
33,263,33,263,0,0,0,59,1,SLICE,SLICE
30,262,30,262,0,0,0,58,1,SLICE,SLICE
33,255,33,255,0,0,0,58,1,SLICE,SLICE
33,258,33,258,0,0,0,59,1,SLICE,SLICE
33,258,33,258,0,0,0,58,1,SLICE,SLICE
31,259,31,259,0,0,0,59,1,SLICE,SLICE
30,256,30,256,0,0,0,59,1,SLICE,SLICE
32,257,32,257,0,0,0,58,1,SLICE,SLICE
45,227,45,227,0,0,0,59,1,SLICE,SLICE
44,226,44,226,0,0,0,58,1,SLICE,SLICE
45,227,45,227,0,0,0,58,1,SLICE,SLICE
45,226,45,226,0,0,0,58,1,SLICE,SLICE
45,226,45,226,0,0,0,59,1,SLICE,SLICE
44,226,44,226,0,0,0,58,1,SLICE,SLICE
43,236,43,236,0,0,0,59,1,SLICE,SLICE
43,236,43,236,0,0,0,58,1,SLICE,SLICE
44,236,44,236,0,0,0,58,1,SLICE,SLICE
43,237,43,237,0,0,0,59,1,SLICE,SLICE
44,236,44,236,0,0,0,59,1,SLICE,SLICE
44,237,44,237,0,0,0,58,1,SLICE,SLICE
32,257,32,257,0,0,0,59,1,SLICE,SLICE
32,258,32,258,0,0,0,59,1,SLICE,SLICE
33,256,33,256,0,0,0,58,1,SLICE,SLICE
33,257,33,257,0,0,0,58,1,SLICE,SLICE
33,257,33,257,0,0,0,58,1,SLICE,SLICE
32,258,32,258,0,0,0,58,1,SLICE,SLICE
45,245,45,245,0,0,0,58,1,SLICE,SLICE
42,246,42,246,0,0,0,55,1,SLICE,SLICE
45,246,45,246,0,0,0,59,1,SLICE,SLICE
45,245,45,245,0,0,0,58,1,SLICE,SLICE
42,245,42,245,0,0,0,55,1,SLICE,SLICE
44,245,44,245,0,0,0,58,1,SLICE,SLICE
46,225,46,225,0,0,0,55,1,SLICE,SLICE
45,224,45,224,0,0,0,59,1,SLICE,SLICE
45,226,45,226,0,0,0,58,1,SLICE,SLICE
46,224,46,224,0,0,0,55,1,SLICE,SLICE
46,223,46,223,0,0,0,55,1,SLICE,SLICE
46,224,46,224,0,0,0,56,1,SLICE,SLICE
44,244,44,244,0,0,0,58,1,SLICE,SLICE
46,245,46,245,0,0,0,55,1,SLICE,SLICE
47,244,47,244,0,0,0,58,1,SLICE,SLICE
46,245,46,245,0,0,0,55,1,SLICE,SLICE
47,245,47,245,0,0,0,58,1,SLICE,SLICE
44,246,44,246,0,0,0,58,1,SLICE,SLICE
30,268,30,268,0,0,0,59,1,SLICE,SLICE
30,269,30,269,0,0,0,58,1,SLICE,SLICE
30,268,30,268,0,0,0,58,1,SLICE,SLICE
33,270,33,270,0,0,0,59,1,SLICE,SLICE
30,268,30,268,0,0,0,58,1,SLICE,SLICE
30,268,30,268,0,0,0,58,1,SLICE,SLICE
45,239,45,239,0,0,0,58,1,SLICE,SLICE
44,240,44,240,0,0,0,58,1,SLICE,SLICE
45,239,45,239,0,0,0,59,1,SLICE,SLICE
45,240,45,240,0,0,0,58,1,SLICE,SLICE
45,239,45,239,0,0,0,58,1,SLICE,SLICE
45,240,45,240,0,0,0,59,1,SLICE,SLICE
42,246,42,246,0,0,0,55,1,SLICE,SLICE
42,246,42,246,0,0,0,55,1,SLICE,SLICE
43,246,43,246,0,0,0,58,1,SLICE,SLICE
43,246,43,246,0,0,0,59,1,SLICE,SLICE
43,246,43,246,0,0,0,58,1,SLICE,SLICE
42,246,42,246,0,0,0,56,1,SLICE,SLICE
31,262,31,262,0,0,0,59,1,SLICE,SLICE
30,261,30,261,0,0,0,59,1,SLICE,SLICE
31,262,31,262,0,0,0,58,1,SLICE,SLICE
30,261,30,261,0,0,0,58,1,SLICE,SLICE
30,261,30,261,0,0,0,58,1,SLICE,SLICE
30,261,30,261,0,0,0,58,1,SLICE,SLICE
30,263,30,263,0,0,0,58,1,SLICE,SLICE
30,264,30,264,0,0,0,58,1,SLICE,SLICE
30,264,30,264,0,0,0,59,1,SLICE,SLICE
30,264,30,264,0,0,0,58,1,SLICE,SLICE
30,263,30,263,0,0,0,59,1,SLICE,SLICE
30,264,30,264,0,0,0,58,1,SLICE,SLICE
44,243,44,243,0,0,0,59,1,SLICE,SLICE
47,244,47,244,0,0,0,59,1,SLICE,SLICE
44,243,44,243,0,0,0,58,1,SLICE,SLICE
44,243,44,243,0,0,0,58,1,SLICE,SLICE
45,243,45,243,0,0,0,58,1,SLICE,SLICE
44,245,44,245,0,0,0,59,1,SLICE,SLICE
44,242,44,242,0,0,0,58,1,SLICE,SLICE
44,242,44,242,0,0,0,58,1,SLICE,SLICE
45,242,45,242,0,0,0,58,1,SLICE,SLICE
45,242,45,242,0,0,0,59,1,SLICE,SLICE
45,242,45,242,0,0,0,58,1,SLICE,SLICE
44,242,44,242,0,0,0,58,1,SLICE,SLICE
40,245,40,245,0,0,0,59,1,SLICE,SLICE
40,245,40,245,0,0,0,58,1,SLICE,SLICE
40,245,40,245,0,0,0,58,1,SLICE,SLICE
40,243,40,243,0,0,0,59,1,SLICE,SLICE
40,244,40,244,0,0,0,58,1,SLICE,SLICE
40,245,40,245,0,0,0,58,1,SLICE,SLICE
45,244,45,244,0,0,0,58,1,SLICE,SLICE
45,244,45,244,0,0,0,59,1,SLICE,SLICE
45,244,45,244,0,0,0,58,1,SLICE,SLICE
45,244,45,244,0,0,0,58,1,SLICE,SLICE
45,243,45,243,0,0,0,59,1,SLICE,SLICE
44,243,44,243,0,0,0,58,1,SLICE,SLICE
45,255,45,255,0,0,0,58,1,SLICE,SLICE
45,255,45,255,0,0,0,59,1,SLICE,SLICE
45,255,45,255,0,0,0,58,1,SLICE,SLICE
45,255,45,255,0,0,0,58,1,SLICE,SLICE
45,254,45,254,0,0,0,58,1,SLICE,SLICE
44,255,44,255,0,0,0,59,1,SLICE,SLICE
44,257,44,257,0,0,0,58,1,SLICE,SLICE
44,256,44,256,0,0,0,59,1,SLICE,SLICE
46,257,46,257,0,0,0,55,1,SLICE,SLICE
44,256,44,256,0,0,0,58,1,SLICE,SLICE
47,255,47,255,0,0,0,58,1,SLICE,SLICE
46,255,46,255,0,0,0,56,1,SLICE,SLICE
48,245,48,245,0,0,0,59,1,SLICE,SLICE
48,245,48,245,0,0,0,58,1,SLICE,SLICE
48,245,48,245,0,0,0,58,1,SLICE,SLICE
49,245,49,245,0,0,0,58,1,SLICE,SLICE
49,245,49,245,0,0,0,59,1,SLICE,SLICE
48,245,48,245,0,0,0,58,1,SLICE,SLICE
46,247,46,247,0,0,0,55,1,SLICE,SLICE
46,247,46,247,0,0,0,55,1,SLICE,SLICE
47,247,47,247,0,0,0,58,1,SLICE,SLICE
47,247,47,247,0,0,0,59,1,SLICE,SLICE
47,247,47,247,0,0,0,58,1,SLICE,SLICE
46,247,46,247,0,0,0,56,1,SLICE,SLICE
46,268,46,268,0,0,0,55,1,SLICE,SLICE
47,267,47,267,0,0,0,58,1,SLICE,SLICE
44,268,44,268,0,0,0,58,1,SLICE,SLICE
47,267,47,267,0,0,0,59,1,SLICE,SLICE
47,270,47,270,0,0,0,58,1,SLICE,SLICE
46,267,46,267,0,0,0,56,1,SLICE,SLICE
48,246,48,246,0,0,0,58,1,SLICE,SLICE
48,246,48,246,0,0,0,58,1,SLICE,SLICE
49,246,49,246,0,0,0,58,1,SLICE,SLICE
49,246,49,246,0,0,0,59,1,SLICE,SLICE
49,246,49,246,0,0,0,58,1,SLICE,SLICE
48,246,48,246,0,0,0,58,1,SLICE,SLICE
45,251,45,251,0,0,0,59,1,SLICE,SLICE
45,251,45,251,0,0,0,58,1,SLICE,SLICE
45,251,45,251,0,0,0,58,1,SLICE,SLICE
45,250,45,250,0,0,0,58,1,SLICE,SLICE
46,250,46,250,0,0,0,55,1,SLICE,SLICE
46,251,46,251,0,0,0,55,1,SLICE,SLICE
44,253,44,253,0,0,0,58,1,SLICE,SLICE
47,255,47,255,0,0,0,59,1,SLICE,SLICE
44,254,44,254,0,0,0,58,1,SLICE,SLICE
45,253,45,253,0,0,0,58,1,SLICE,SLICE
45,253,45,253,0,0,0,59,1,SLICE,SLICE
46,255,46,255,0,0,0,55,1,SLICE,SLICE
45,260,45,260,0,0,0,58,1,SLICE,SLICE
45,260,45,260,0,0,0,59,1,SLICE,SLICE
45,259,45,259,0,0,0,58,1,SLICE,SLICE
45,260,45,260,0,0,0,58,1,SLICE,SLICE
45,258,45,258,0,0,0,58,1,SLICE,SLICE
44,259,44,259,0,0,0,59,1,SLICE,SLICE
46,250,46,250,0,0,0,55,1,SLICE,SLICE
44,251,44,251,0,0,0,59,1,SLICE,SLICE
44,250,44,250,0,0,0,58,1,SLICE,SLICE
44,251,44,251,0,0,0,58,1,SLICE,SLICE
46,251,46,251,0,0,0,55,1,SLICE,SLICE
46,250,46,250,0,0,0,56,1,SLICE,SLICE
45,248,45,248,0,0,0,59,1,SLICE,SLICE
45,249,45,249,0,0,0,58,1,SLICE,SLICE
46,249,46,249,0,0,0,56,1,SLICE,SLICE
46,249,46,249,0,0,0,55,1,SLICE,SLICE
46,248,46,248,0,0,0,55,1,SLICE,SLICE
44,247,44,247,0,0,0,58,1,SLICE,SLICE
44,254,44,254,0,0,0,59,1,SLICE,SLICE
44,254,44,254,0,0,0,58,1,SLICE,SLICE
44,254,44,254,0,0,0,58,1,SLICE,SLICE
45,254,45,254,0,0,0,58,1,SLICE,SLICE
45,254,45,254,0,0,0,59,1,SLICE,SLICE
44,255,44,255,0,0,0,58,1,SLICE,SLICE
51,246,51,246,0,0,0,59,1,SLICE,SLICE
49,248,49,248,0,0,0,58,1,SLICE,SLICE
51,246,51,246,0,0,0,58,1,SLICE,SLICE
51,246,51,246,0,0,0,58,1,SLICE,SLICE
51,247,51,247,0,0,0,59,1,SLICE,SLICE
50,247,50,247,0,0,0,56,1,SLICE,SLICE
48,248,48,248,0,0,0,58,1,SLICE,SLICE
48,248,48,248,0,0,0,59,1,SLICE,SLICE
48,248,48,248,0,0,0,58,1,SLICE,SLICE
48,248,48,248,0,0,0,58,1,SLICE,SLICE
49,248,49,248,0,0,0,58,1,SLICE,SLICE
50,246,50,246,0,0,0,55,1,SLICE,SLICE
46,255,46,255,0,0,0,55,1,SLICE,SLICE
46,253,46,253,0,0,0,55,1,SLICE,SLICE
46,255,46,255,0,0,0,55,1,SLICE,SLICE
46,254,46,254,0,0,0,55,1,SLICE,SLICE
46,254,46,254,0,0,0,55,1,SLICE,SLICE
46,254,46,254,0,0,0,56,1,SLICE,SLICE
44,250,44,250,0,0,0,59,1,SLICE,SLICE
44,250,44,250,0,0,0,58,1,SLICE,SLICE
45,250,45,250,0,0,0,58,1,SLICE,SLICE
45,250,45,250,0,0,0,59,1,SLICE,SLICE
45,250,45,250,0,0,0,58,1,SLICE,SLICE
44,250,44,250,0,0,0,58,1,SLICE,SLICE
46,257,46,257,0,0,0,55,1,SLICE,SLICE
46,257,46,257,0,0,0,55,1,SLICE,SLICE
47,257,47,257,0,0,0,58,1,SLICE,SLICE
47,257,47,257,0,0,0,59,1,SLICE,SLICE
47,257,47,257,0,0,0,58,1,SLICE,SLICE
46,257,46,257,0,0,0,56,1,SLICE,SLICE
45,269,45,269,0,0,0,58,1,SLICE,SLICE
45,269,45,269,0,0,0,58,1,SLICE,SLICE
44,267,44,267,0,0,0,58,1,SLICE,SLICE
45,266,45,266,0,0,0,59,1,SLICE,SLICE
45,267,45,267,0,0,0,59,1,SLICE,SLICE
44,268,44,268,0,0,0,58,1,SLICE,SLICE
48,247,48,247,0,0,0,58,1,SLICE,SLICE
48,247,48,247,0,0,0,58,1,SLICE,SLICE
49,247,49,247,0,0,0,58,1,SLICE,SLICE
48,246,48,246,0,0,0,59,1,SLICE,SLICE
49,247,49,247,0,0,0,59,1,SLICE,SLICE
48,247,48,247,0,0,0,58,1,SLICE,SLICE
49,253,49,253,0,0,0,58,1,SLICE,SLICE
50,249,50,249,0,0,0,55,1,SLICE,SLICE
49,253,49,253,0,0,0,59,1,SLICE,SLICE
49,252,49,252,0,0,0,58,1,SLICE,SLICE
49,252,49,252,0,0,0,59,1,SLICE,SLICE
48,252,48,252,0,0,0,58,1,SLICE,SLICE
44,261,44,261,0,0,0,58,1,SLICE,SLICE
45,262,45,262,0,0,0,58,1,SLICE,SLICE
45,262,45,262,0,0,0,59,1,SLICE,SLICE
45,262,45,262,0,0,0,58,1,SLICE,SLICE
45,262,45,262,0,0,0,58,1,SLICE,SLICE
44,263,44,263,0,0,0,59,1,SLICE,SLICE
44,280,44,280,0,0,0,58,1,SLICE,SLICE
45,278,45,278,0,0,0,59,1,SLICE,SLICE
45,279,45,279,0,0,0,58,1,SLICE,SLICE
45,279,45,279,0,0,0,59,1,SLICE,SLICE
44,280,44,280,0,0,0,58,1,SLICE,SLICE
44,278,44,278,0,0,0,58,1,SLICE,SLICE
44,268,44,268,0,0,0,58,1,SLICE,SLICE
44,267,44,267,0,0,0,59,1,SLICE,SLICE
44,265,44,265,0,0,0,58,1,SLICE,SLICE
45,264,45,264,0,0,0,58,1,SLICE,SLICE
45,264,45,264,0,0,0,59,1,SLICE,SLICE
44,263,44,263,0,0,0,58,1,SLICE,SLICE
45,270,45,270,0,0,0,59,1,SLICE,SLICE
46,272,46,272,0,0,0,55,1,SLICE,SLICE
45,270,45,270,0,0,0,58,1,SLICE,SLICE
47,270,47,270,0,0,0,59,1,SLICE,SLICE
45,269,45,269,0,0,0,58,1,SLICE,SLICE
44,270,44,270,0,0,0,58,1,SLICE,SLICE
44,257,44,257,0,0,0,58,1,SLICE,SLICE
44,256,44,256,0,0,0,58,1,SLICE,SLICE
44,255,44,255,0,0,0,58,1,SLICE,SLICE
45,256,45,256,0,0,0,58,1,SLICE,SLICE
45,256,45,256,0,0,0,59,1,SLICE,SLICE
44,256,44,256,0,0,0,58,1,SLICE,SLICE
46,256,46,256,0,0,0,56,1,SLICE,SLICE
45,253,45,253,0,0,0,58,1,SLICE,SLICE
47,255,47,255,0,0,0,58,1,SLICE,SLICE
45,254,45,254,0,0,0,58,1,SLICE,SLICE
45,253,45,253,0,0,0,58,1,SLICE,SLICE
44,253,44,253,0,0,0,58,1,SLICE,SLICE
46,252,46,252,0,0,0,56,1,SLICE,SLICE
46,252,46,252,0,0,0,55,1,SLICE,SLICE
46,254,46,254,0,0,0,55,1,SLICE,SLICE
46,253,46,253,0,0,0,55,1,SLICE,SLICE
44,253,44,253,0,0,0,59,1,SLICE,SLICE
46,253,46,253,0,0,0,56,1,SLICE,SLICE
48,244,48,244,0,0,0,59,1,SLICE,SLICE
48,244,48,244,0,0,0,58,1,SLICE,SLICE
48,244,48,244,0,0,0,58,1,SLICE,SLICE
49,244,49,244,0,0,0,58,1,SLICE,SLICE
49,244,49,244,0,0,0,59,1,SLICE,SLICE
48,244,48,244,0,0,0,58,1,SLICE,SLICE
44,279,44,279,0,0,0,58,1,SLICE,SLICE
45,275,45,275,0,0,0,59,1,SLICE,SLICE
44,277,44,277,0,0,0,58,1,SLICE,SLICE
45,274,45,274,0,0,0,58,1,SLICE,SLICE
45,278,45,278,0,0,0,58,1,SLICE,SLICE
44,277,44,277,0,0,0,58,1,SLICE,SLICE
45,261,45,261,0,0,0,58,1,SLICE,SLICE
45,261,45,261,0,0,0,59,1,SLICE,SLICE
45,261,45,261,0,0,0,58,1,SLICE,SLICE
45,261,45,261,0,0,0,58,1,SLICE,SLICE
44,260,44,260,0,0,0,58,1,SLICE,SLICE
44,262,44,262,0,0,0,58,1,SLICE,SLICE
48,249,48,249,0,0,0,58,1,SLICE,SLICE
48,249,48,249,0,0,0,59,1,SLICE,SLICE
48,249,48,249,0,0,0,58,1,SLICE,SLICE
48,250,48,250,0,0,0,58,1,SLICE,SLICE
48,249,48,249,0,0,0,58,1,SLICE,SLICE
48,250,48,250,0,0,0,59,1,SLICE,SLICE
44,263,44,263,0,0,0,58,1,SLICE,SLICE
45,263,45,263,0,0,0,58,1,SLICE,SLICE
45,265,45,265,0,0,0,59,1,SLICE,SLICE
45,263,45,263,0,0,0,59,1,SLICE,SLICE
45,264,45,264,0,0,0,58,1,SLICE,SLICE
44,265,44,265,0,0,0,58,1,SLICE,SLICE
45,257,45,257,0,0,0,58,1,SLICE,SLICE
45,257,45,257,0,0,0,59,1,SLICE,SLICE
45,257,45,257,0,0,0,58,1,SLICE,SLICE
45,256,45,256,0,0,0,58,1,SLICE,SLICE
45,256,45,256,0,0,0,58,1,SLICE,SLICE
44,257,44,257,0,0,0,58,1,SLICE,SLICE
44,252,44,252,0,0,0,59,1,SLICE,SLICE
44,252,44,252,0,0,0,58,1,SLICE,SLICE
44,253,44,253,0,0,0,58,1,SLICE,SLICE
44,252,44,252,0,0,0,58,1,SLICE,SLICE
45,252,45,252,0,0,0,58,1,SLICE,SLICE
44,251,44,251,0,0,0,58,1,SLICE,SLICE
46,251,46,251,0,0,0,55,1,SLICE,SLICE
47,251,47,251,0,0,0,58,1,SLICE,SLICE
47,251,47,251,0,0,0,59,1,SLICE,SLICE
47,251,47,251,0,0,0,58,1,SLICE,SLICE
47,251,47,251,0,0,0,58,1,SLICE,SLICE
46,251,46,251,0,0,0,56,1,SLICE,SLICE
44,251,44,251,0,0,0,58,1,SLICE,SLICE
45,252,45,252,0,0,0,59,1,SLICE,SLICE
45,252,45,252,0,0,0,58,1,SLICE,SLICE
45,252,45,252,0,0,0,58,1,SLICE,SLICE
45,251,45,251,0,0,0,58,1,SLICE,SLICE
44,252,44,252,0,0,0,58,1,SLICE,SLICE
48,251,48,251,0,0,0,58,1,SLICE,SLICE
49,251,49,251,0,0,0,58,1,SLICE,SLICE
49,250,49,250,0,0,0,59,1,SLICE,SLICE
49,250,49,250,0,0,0,58,1,SLICE,SLICE
49,250,49,250,0,0,0,58,1,SLICE,SLICE
48,250,48,250,0,0,0,58,1,SLICE,SLICE
46,249,46,249,0,0,0,55,1,SLICE,SLICE
46,247,46,247,0,0,0,55,1,SLICE,SLICE
45,247,45,247,0,0,0,59,1,SLICE,SLICE
46,249,46,249,0,0,0,55,1,SLICE,SLICE
45,248,45,248,0,0,0,58,1,SLICE,SLICE
46,248,46,248,0,0,0,56,1,SLICE,SLICE
47,254,47,254,0,0,0,58,1,SLICE,SLICE
47,254,47,254,0,0,0,59,1,SLICE,SLICE
47,254,47,254,0,0,0,58,1,SLICE,SLICE
47,253,47,253,0,0,0,58,1,SLICE,SLICE
44,255,44,255,0,0,0,58,1,SLICE,SLICE
46,253,46,253,0,0,0,55,1,SLICE,SLICE
44,260,44,260,0,0,0,58,1,SLICE,SLICE
45,259,45,259,0,0,0,58,1,SLICE,SLICE
45,258,45,258,0,0,0,59,1,SLICE,SLICE
45,259,45,259,0,0,0,59,1,SLICE,SLICE
45,259,45,259,0,0,0,58,1,SLICE,SLICE
44,259,44,259,0,0,0,58,1,SLICE,SLICE
90,170,90,170,0,0,0,55,1,SLICE,SLICE
91,170,91,170,0,0,0,58,1,SLICE,SLICE
92,169,92,169,0,0,0,58,1,SLICE,SLICE
92,169,92,169,0,0,0,58,1,SLICE,SLICE
91,170,91,170,0,0,0,59,1,SLICE,SLICE
92,169,92,169,0,0,0,58,1,SLICE,SLICE
92,172,92,172,0,0,0,58,1,SLICE,SLICE
91,173,91,173,0,0,0,58,1,SLICE,SLICE
91,174,91,174,0,0,0,58,1,SLICE,SLICE
92,173,92,173,0,0,0,58,1,SLICE,SLICE
92,174,92,174,0,0,0,59,1,SLICE,SLICE
90,173,90,173,0,0,0,55,1,SLICE,SLICE
92,147,92,147,0,0,0,59,1,SLICE,SLICE
92,146,92,146,0,0,0,58,1,SLICE,SLICE
93,148,93,148,0,0,0,59,1,SLICE,SLICE
92,147,92,147,0,0,0,58,1,SLICE,SLICE
